Device:,Redwood Joystick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Version:, V1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated:,2025-01-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Total filament (g),,Unit Cost,Total Estimated Cost,Build Cost,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,150.34,, $93.78 , $97.08 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID,Commercial Parts,,,,,,,,, $89.80 , $93.10 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Part,Description,,Manufacturer,Supplier,QTY / Device,QTY / PKG,PKGs,$/ PKG,$ / Device,Total Estimated Cost,,Link,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A01,"Screw, #4 self-tapping 3/8"" length",For attachment of bottom enclosure to top enclosure.,,DigiKey,DigiKey,4,1,4, $0.63 , $2.52 , $2.52 ,,https://www.digikey.ca/en/products/detail/serpac/6005/307599,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A02,UltraStik 360 Ball Top (analog) ,59 USD. Estimated CAD cost at 1.4179 conversion rate. You will need to pay customs fees if you are outside of the USA. ,,Ultimarc,Ultimarc,1,1,1, $83.65 , $83.65 , $83.65 ,,https://www.ultimarc.com/arcade-controls/joysticks/ultrastik-360-oval-top-clone/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A03,"Hex nut, M3",Included incase a mounting adapter is used,,DigiKey,DigiKey,2,1,1, $0.27 , $0.54 , $0.27 ,,https://www.digikey.ca/en/products/detail/keystone-electronics/4708/4499301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A04,"Cable tie, 4""",Strain Relief,,DigiKey,DigiKey,1,1,1, $0.17 , $0.17 , $0.17 ,,https://www.digikey.ca/en/products/detail/3m/CT4NT18-M/2721151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Items Below are optional. See Maker Guide,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B01,Metric Hex Nut M6-1.00 ,OPTIONAL: IF USING TOPPER ADAPTER,,Home Depot,Home Depot,1,10,1, $3.97 , $0.40 , $3.97 ,,https://www.homedepot.ca/product/paulin-metric-hex-nut-m6-1-00-10pcs/1001588038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B06,M3x12mm screw,OPTIONAL: IF USING MOUNTING ADAPTER,,DigiKey,DigiKey,2,2,1, $1.11 , $1.11 , $1.11 ,,https://www.digikey.ca/en/products/detail/apm-hexseal/RM3X12MM-2701/2063201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B07,"1/4″-20 UNC Tee Nut Insert, 5/16″ Length",OPTIONAL: IF USING CAMERA MOUNTING ADAPTER,,Home Depot,Home Depot,1,1,1, $0.55 , $0.55 , $0.55 ,,https://www.homedepot.ca/product/paulin-1-4-inch-20-tee-nuts-4-prong-5-16-inch-barrel-length/1000129429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B08,1/4″-20 Bolt (any length greater than 10 mm),OPTIONAL: IF USING CAMERA MOUNTING ADAPTER,,Home Depot,Home Depot,1,1,1, $0.86 , $0.86 , $0.86 ,,https://www.homedepot.ca/product/paulin-1-4-20-x-1-inch-hex-head-cap-screw-18-8-stainless-steel-unc/1000142352,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3D Printed Parts,,,,,,,159.15,, $3.98 , $3.98 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Part,Description,Filament Type,Filament,Color,QTY / Device,Mass (g) / Part,Total Mass,$ / kg,$ / Device,Total Estimated Cost,,Link,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A05,Redwood-Enclosure-Base-v1.0,Printed with 4 wall loops,PLA,,Any,1,46.15,46.15, $25.00 , $1.15 , $1.15 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A06,Redwood-Enclosure-Top-v1.0,Printed with 4 wall loops,PLA,,Any,1,92.63,92.63, $25.00 , $2.32 , $2.32 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Items Below are optional. See Maker Guide,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B02,Redwood-Topper-Adapter-Nut-v1.0 ,OPTIONAL: IF USING TOPPER ADAPTER,PLA,,Any,1,4.87,4.87, $25.00 , $0.12 , $0.12 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B03,Redwood-Topper-Adapter-Cover-v1.0 ,OPTIONAL: IF USING TOPPER ADAPTER,PLA,,Any,1,0.34,0.34, $25.00 , $0.01 , $0.01 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B04,RAM Mounting Adapter,OPTIONAL: IF USING RAM MOUNTING ARM,PLA,,Any,1,6.35,6.35, $25.00 , $0.16 , $0.16 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B05,Camera Mount Adapter,OPTIONAL: IF USING 1/4-20 MOUNTING ARM,PLA,,Any,1,8.81,8.81, $25.00 , $0.22 , $0.22 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Tools,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Tool,Description,,Manufacturer,Supplier,,,,,,,,Link,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T01,Philips screw driver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T02,3D printer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T03,Canadian dime (helps spin the adapter cover),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T04,Flush Cutters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Alternatives,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Part,Description,,Manufacturer,Supplier,QTY / Device,QTY / PKG,PKGs,$/ PKG,$ / Device,Total Estimated Cost,,Link,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
